City,Country,Cloudiness,date,Humidity,Latitude,Longitude,Maximum Temp,Wind Speed
Faya,SA,0,1569364574,60,18.39,42.45,69.8,2.01
Yellowknife,CA,75,1569364574,61,62.45,-114.38,46.4,14.99
Hilo,US,75,1569364575,58,19.71,-155.08,87.8,9.17
Ushuaia,AR,40,1569364556,75,-54.81,-68.31,44.6,28.86
Chuy,UY,0,1569364384,87,-33.69,-53.46,54.98,7.81
Nemuro,JP,0,1569364576,58,43.32,145.57,58.58,17.27
Kalmunai,LK,80,1569364576,84,7.42,81.82,74.96,1.77
Yulara,AU,60,1569364576,93,-25.24,130.99,48.2,5.82
Pandamatenga,BW,39,1569364577,45,-18.54,25.64,72.62,9.13
Georgetown,GY,20,1569364562,79,6.8,-58.16,84.2,11.41
Xai-Xai,MZ,79,1569364577,74,-25.04,33.64,64.7,9.62
Atuona,PF,0,1569364578,77,-9.8,-139.03,79.64,16.91
Jamestown,AU,0,1569364579,53,-33.21,138.6,59.3,11.12
Provideniya,RU,90,1569364579,88,64.42,-173.23,41.0,8.95
Rikitea,PF,68,1569364579,67,-23.12,-134.97,70.64,5.86
Souillac,FR,75,1569364580,82,45.6,-0.6,64.0,11.41
Gasa,BT,89,1569364581,83,27.91,89.73,33.92,5.1
Kutum,SD,74,1569364581,39,14.2,24.66,81.26,8.12
Iqaluit,CA,40,1569364581,86,63.75,-68.52,35.6,3.36
Khatanga,RU,67,1569364582,77,71.98,102.47,34.82,10.02
Kapaa,US,75,1569364582,66,22.08,-159.32,87.8,12.75
Mahebourg,MU,40,1569364582,88,-20.41,57.7,71.6,12.75
Castro,CL,0,1569364583,82,-42.48,-73.76,57.2,8.05
Tasiilaq,GL,100,1569364583,93,65.61,-37.64,41.0,4.7
Vanino,RU,0,1569364585,77,53.93,40.55,35.01,5.64
Wad Rawah,SD,73,1569364585,44,15.16,33.13,87.74,7.38
Busselton,AU,87,1569364585,78,-33.64,115.35,55.99,14.79
Punta Arenas,CL,40,1569364586,53,-53.16,-70.91,51.8,6.93
Cape Town,ZA,0,1569364427,72,-33.93,18.42,62.01,6.93
Lebu,ET,94,1569364586,91,8.96,38.73,56.06,2.17
Butaritari,KI,25,1569364587,72,3.07,172.79,84.86,10.89
Pangnirtung,CA,90,1569364587,93,66.15,-65.72,37.4,10.29
Mataura,NZ,85,1569364587,81,-46.19,168.86,45.0,5.01
Sibu,MY,75,1569364588,94,2.29,111.83,75.2,2.24
Saint-Joseph,FR,0,1569364588,88,43.56,6.97,68.0,3.36
Narsaq,GL,75,1569364588,45,60.91,-46.05,48.2,4.7
Amnat Charoen,TH,48,1569364589,82,15.86,104.63,72.8,12.66
Avarua,CK,24,1569364589,60,-21.21,-159.78,73.4,13.87
Sitka,US,28,1569364589,42,37.17,-99.65,93.0,15.99
Benghazi,LY,0,1569364590,84,32.12,20.07,77.66,9.55
Nosy Varika,MG,95,1569364590,91,-20.58,48.53,70.1,7.18
Aranjuez,ES,40,1569364590,56,40.03,-3.6,72.0,9.17
Nikolskoye,RU,0,1569364591,69,59.7,30.79,39.99,4.47
Kodiak,US,90,1569364591,78,39.95,-94.76,81.0,12.75
Bethel,US,90,1569364591,87,60.79,-161.76,46.4,14.99
Leningradskiy,RU,100,1569364592,97,69.38,178.42,34.64,10.56
Kedougou,SN,40,1569364592,94,12.56,-12.19,78.8,4.7
Sistranda,NO,0,1569364593,71,63.73,8.83,53.01,10.29
Lokosovo,RU,82,1569364593,90,61.13,74.84,33.38,14.58
Airai,TL,56,1569364594,46,-8.93,125.41,82.7,3.38
Hobart,AU,40,1569364548,53,-42.88,147.33,51.01,8.05
Baltay,RU,83,1569364594,83,52.47,46.63,35.0,7.05
Kargasok,RU,92,1569364594,92,59.06,80.87,35.9,7.78
Samarai,PG,96,1569364595,81,-10.62,150.67,77.66,9.51
Barra do Garcas,BR,0,1569364595,28,-15.89,-52.26,95.0,4.7
Klaksvik,FO,99,1569364595,100,62.23,-6.59,51.8,20.8
Vila,IT,0,1569364596,93,45.18,8.4,64.0,4.7
Rantoul,US,1,1569364424,50,40.31,-88.16,75.99,6.93
East London,ZA,94,1569364596,71,-33.02,27.91,51.56,3.29
Port Alfred,ZA,65,1569364597,64,-33.59,26.89,60.01,3.0
Cabo San Lucas,MX,5,1569364333,66,22.89,-109.91,90.0,14.99
Saint George,GR,75,1569364597,100,39.45,22.34,62.6,3.36
Carnarvon,ZA,0,1569364598,84,-30.97,22.13,44.18,19.24
Mapimi,MX,75,1569364598,31,25.82,-103.85,91.4,5.82
Tabas,IR,0,1569364599,20,33.6,56.92,82.4,2.24
Albany,US,75,1569364509,59,42.65,-73.75,66.2,10.29
Touros,BR,0,1569364599,78,-5.2,-35.46,77.0,6.93
Wonthaggi,AU,100,1569364600,96,-38.6,145.59,54.0,5.01
Sarangani,PH,17,1569364600,73,5.4,125.46,81.62,7.72
Beringovskiy,RU,41,1569364600,62,63.05,179.32,38.24,7.29
Puerto Ayora,EC,40,1569364601,65,-0.74,-90.35,77.0,6.93
Sikonge,TZ,56,1569364601,49,-5.63,32.75,69.38,7.14
San Andres,PH,27,1569364601,75,13.32,122.68,81.8,5.5
Lorengau,PG,54,1569364602,67,-2.02,147.27,85.04,7.07
Burns Lake,CA,83,1569364602,66,54.23,-125.76,47.06,14.61
New Norfolk,AU,40,1569364602,53,-42.78,147.06,51.01,8.05
Qaanaaq,GL,79,1569364603,86,77.48,-69.36,21.14,7.11
Norman Wells,CA,75,1569364603,61,65.28,-126.83,48.2,14.99
Nordenham,DE,0,1569364603,72,53.5,8.48,60.8,4.7
Moron,HT,100,1569364603,87,18.56,-74.26,78.56,9.04
Mar del Plata,AR,5,1569364604,39,-46.43,-67.52,62.18,13.09
Porto Novo,BR,40,1569364604,82,-23.68,-45.44,62.6,8.05
Esperance,AU,65,1569364605,41,-33.86,121.89,57.2,17.22
Dalbandin,PK,0,1569364605,19,28.9,64.41,71.9,3.74
Alagoinha,BR,0,1569364605,69,-6.95,-35.55,77.0,11.41
Maralal,KE,25,1569364606,71,1.1,36.7,63.62,9.04
Pochutla,MX,40,1569364606,70,15.74,-96.47,84.2,1.5
Sao Filipe,CV,100,1569364606,88,14.9,-24.5,80.54,10.25
Vaini,IN,100,1569364606,97,15.34,74.49,74.24,1.48
Yerbogachen,RU,21,1569364607,88,61.28,108.01,39.32,7.63
Hermanus,ZA,0,1569364607,82,-34.42,19.24,59.0,11.99
Kita,JP,75,1569364607,78,35.76,139.74,77.0,9.17
Araci,BR,14,1569364608,84,-11.34,-38.96,67.22,8.28
Okahandja,NA,88,1569364608,10,-21.98,16.91,66.2,9.17
Katherine,AU,0,1569364608,44,-14.47,132.26,77.0,3.36
Tuktoyaktuk,CA,75,1569364608,75,69.44,-133.03,41.0,6.93
Puerto Narino,CO,75,1569364609,83,-3.77,-70.38,80.6,11.41
Pisco,PE,0,1569364609,30,-13.71,-76.2,71.6,13.87
Iracoubo,GF,68,1569364609,87,5.48,-53.21,78.2,5.48
Dingle,PH,3,1569364610,84,11.0,122.67,80.36,6.24
Dikson,RU,100,1569364382,93,73.51,80.55,37.52,17.81
Ponta do Sol,BR,42,1569364611,75,-20.63,-46.0,67.4,4.14
Isangel,VU,90,1569364611,64,-19.55,169.27,75.2,6.93
Katsuura,JP,75,1569364611,73,33.93,134.5,69.8,9.17
Alofi,NU,40,1569364612,57,-19.06,-169.92,78.8,12.75
Marrakesh,MA,20,1569364612,34,31.63,-7.99,80.6,2.24
Borogontsy,RU,33,1569364612,72,62.67,131.17,35.72,5.03
Broken Hill,AU,100,1569364613,50,-31.97,141.45,51.8,16.11
Zeya,RU,100,1569364613,47,53.74,127.27,42.2,2.73
Saint-Philippe,CA,90,1569364613,67,45.36,-73.48,60.8,6.93
Tomatlan,MX,75,1569364614,83,19.93,-105.25,82.88,12.64
Burgeo,CA,100,1569364614,95,47.61,-57.61,52.82,23.69
Haines Junction,CA,35,1569364615,63,60.75,-137.51,42.74,9.37
Puri,ID,59,1569364616,69,-7.54,112.45,79.28,10.65
Katsina,NG,74,1569364616,41,12.99,7.6,81.8,5.79
Santa Clara,CU,40,1569364616,65,22.41,-79.97,86.0,9.17
Grindavik,IS,75,1569364617,93,63.84,-22.43,53.6,11.41
Santa Teresa,BR,90,1569364617,77,-19.94,-40.6,68.0,4.25
Vostok,RU,0,1569364618,62,46.45,135.83,45.44,7.56
Zyryanka,RU,50,1569364618,53,65.73,150.89,32.3,6.62
Quincy,US,1,1569364618,21,47.23,-119.85,78.8,21.92
Ribeira Grande,PT,4,1569364618,66,38.52,-28.7,70.28,9.78
Gazanjyk,TM,0,1569364619,25,39.24,55.52,65.96,10.67
Lagoa,PT,0,1569364619,78,37.14,-8.45,73.4,6.93
Port-Gentil,GA,90,1569364619,88,-0.72,8.78,78.8,11.41
Banjar,ID,87,1569364620,85,-7.37,108.54,74.06,1.05
Saint-Augustin,CA,90,1569364620,77,45.63,-73.98,60.8,4.7
Ixtapa,MX,75,1569364453,75,20.71,-105.21,89.6,9.17
Mudgee,AU,28,1569364621,66,-32.6,149.59,48.2,2.44
Bluff,AU,90,1569364621,61,-23.58,149.07,72.26,10.98
Chicama,PE,90,1569364622,87,-7.84,-79.15,60.8,9.17
Kirkuk,IQ,0,1569364622,19,35.47,44.4,73.88,8.48
Luau,CD,42,1569364623,69,-10.7,22.23,70.28,0.96
Kaitangata,NZ,97,1569364623,58,-46.28,169.85,48.0,11.01
Wasilla,US,75,1569364623,62,61.58,-149.44,53.6,5.26
Bredasdorp,ZA,29,1569364624,71,-34.53,20.04,57.0,10.29
Kizema,RU,100,1569364624,98,61.11,44.83,34.82,5.12
Lata,IN,1,1569364624,90,30.78,78.62,34.28,1.07
Torbay,CA,90,1569364625,81,47.66,-52.73,46.99,12.75
Port Elizabeth,US,40,1569364625,41,39.31,-74.98,77.0,8.05
Alekseyevsk,RU,0,1569364626,93,57.84,108.35,41.84,3.22
Guerrero Negro,MX,1,1569364626,87,27.97,-114.04,68.84,16.2
Berlevag,NO,75,1569364627,81,70.86,29.09,42.8,10.29
Marystown,CA,100,1569364566,88,47.17,-55.16,49.58,18.52
Belmonte,PT,1,1569364628,93,40.36,-7.35,60.01,3.83
Clyde River,CA,1,1569364628,86,70.47,-68.59,32.0,2.24
Mount Gambier,AU,40,1569364629,100,-37.83,140.78,42.8,4.7
Yebaishou,CN,51,1569364629,30,41.4,119.64,65.6,2.95
Jodiya,IN,55,1569364629,10,22.69,70.31,82.99,8.93
Uvat,RU,49,1569364630,92,59.14,68.9,29.96,7.31
Rincon,PA,75,1569364630,83,8.46,-82.28,82.4,6.93
Fort Nelson,CA,75,1569364630,47,58.81,-122.69,57.2,6.93
Bon Accord,CA,75,1569364631,44,53.84,-113.41,61.0,16.11
Severo-Kurilsk,RU,50,1569364631,78,50.68,156.12,49.4,25.81
Niceville,US,1,1569364631,52,30.52,-86.48,93.2,9.17
Qasigiannguit,GL,98,1569364632,93,68.82,-51.19,33.92,3.83
Ouadda,CF,100,1569364633,92,8.07,22.4,69.74,1.68
Padre Paraiso,BR,27,1569364633,93,-17.07,-41.48,58.22,7.67
Tiksi,RU,92,1569364634,83,71.64,128.87,35.72,13.35
Hithadhoo,MV,100,1569364634,74,-0.6,73.08,80.36,6.98
Dicabisagan,PH,13,1569364634,84,17.08,122.42,77.3,0.72
Bilibino,RU,52,1569364634,79,68.06,166.44,23.48,3.44
Savannah Bight,HN,0,1569364635,68,16.45,-85.85,85.94,7.85
Santiago del Estero,AR,0,1569364635,38,-27.8,-64.26,68.48,5.59
Nanakuli,US,90,1569364636,62,21.39,-158.15,89.6,9.17
Aberdeen,US,20,1569364636,72,46.98,-123.82,72.0,12.75
Vestmannaeyjar,IS,87,1569364637,91,63.44,-20.27,50.12,32.1
Padang,ID,75,1569364637,83,-0.92,100.36,79.46,13.71
Xining,CN,4,1569364638,66,36.62,101.77,40.58,1.3
Upernavik,GL,100,1569364638,96,72.79,-56.15,33.56,9.08
Tenango,MX,40,1569364638,32,20.53,-100.67,80.6,6.93
Victoria,BN,75,1569364639,62,5.28,115.24,84.2,9.17
Veraval,FR,85,1569364639,87,49.65,0.71,59.0,11.41
Pitimbu,BR,40,1569364639,88,-7.47,-34.81,77.0,11.41
Tupik,RU,4,1569364640,75,54.43,119.94,44.0,2.35
Bandarbeyla,SO,49,1569364640,70,9.49,50.81,75.14,12.55
Auki,NG,7,1569364640,74,12.18,6.51,76.4,8.52
Kisanga,CD,6,1569364641,41,-11.72,27.4,61.1,6.24
Riga,LV,0,1569364641,80,56.95,24.11,42.01,3.36
San Quintin,PH,0,1569364641,75,17.54,120.52,78.02,4.07
Balkhash,KZ,2,1569364642,48,46.84,74.98,54.98,5.46
Zhigansk,RU,100,1569364642,74,66.77,123.37,37.52,8.34
Kruisfontein,ZA,1,1569364642,83,-34.0,24.73,47.78,9.53
Rio Grande,BR,0,1569364643,72,-32.03,-52.1,61.0,3.8
Lufilufi,WS,75,1569364643,88,-13.87,-171.6,80.6,5.82
Codrington,AU,75,1569364643,72,-28.95,153.24,68.0,4.21
Leshukonskoye,RU,97,1569364644,90,64.9,45.76,35.0,9.31
Arraial do Cabo,BR,0,1569364644,68,-22.97,-42.02,69.8,11.41
Ciudad Bolivar,VE,26,1569364644,66,8.12,-63.55,82.16,2.21
San Ramon,NI,75,1569364645,65,12.92,-85.84,82.4,2.53
Nanortalik,GL,79,1569364645,79,60.14,-45.24,42.02,1.7
Oranjemund,ZA,0,1569364646,51,-28.55,16.43,64.34,18.59
Makat,KZ,0,1569364646,39,47.65,53.35,46.7,5.3
Batemans Bay,AU,97,1569364648,75,-35.71,150.18,57.99,4.0
Broome,GB,89,1569364648,93,52.47,1.45,59.0,8.05
Srednekolymsk,RU,0,1569364649,55,67.46,153.71,33.56,10.47
Luderitz,NA,0,1569364649,9,-26.65,15.16,91.4,28.86
Ayan,IR,0,1569364650,21,38.23,44.7,46.34,5.97
Montrose,GB,90,1569364650,100,56.71,-2.47,57.2,11.41
Maningrida,AU,28,1569364650,51,-12.05,134.23,81.62,11.05
Vila Velha,BR,0,1569364651,74,-3.71,-38.6,80.6,12.75
Popondetta,PG,55,1569364651,74,-8.77,148.24,74.42,3.71
Buala,SB,100,1569364651,74,-8.15,159.59,81.26,1.45
Tual,ID,66,1569364651,82,-5.67,132.75,78.2,18.34
Beyneu,KZ,15,1569364652,57,45.32,55.19,53.0,9.31
Baykit,RU,9,1569364652,95,61.68,96.39,35.0,8.25
Tshikapa,CD,100,1569364652,92,-6.42,20.79,69.92,2.91
Nome,US,1,1569364653,48,30.04,-94.42,89.6,6.93
Akdepe,TM,0,1569364653,44,42.05,59.39,59.0,9.17
Sayyan,YE,15,1569364653,62,15.17,44.32,71.54,0.78
Siguiri,GN,43,1569364653,87,11.42,-9.17,75.14,2.77
Teresina,BR,0,1569364654,58,-5.09,-42.81,86.0,3.36
Topeka,US,75,1569364654,69,39.05,-95.68,81.0,10.29
Byron Bay,AU,75,1569364654,77,-28.65,153.62,73.99,3.36
Etchoropo,MX,3,1569364655,58,26.77,-109.67,93.0,3.0
Shibata,JP,40,1569364655,88,37.91,139.43,66.2,12.75
Talnakh,RU,75,1569364655,84,69.49,88.39,33.8,13.42
Sur,OM,24,1569364655,81,22.57,59.53,77.66,7.14
Labuhan,ID,82,1569364656,56,-2.54,115.51,81.08,0.47
Wakkanai,JP,0,1569364656,57,45.41,141.67,56.96,24.29
Wodonga,AU,32,1569364656,81,-36.12,146.89,48.99,2.24
Bambous Virieux,MU,40,1569364657,88,-20.34,57.76,71.6,12.75
Kungurtug,RU,99,1569364657,60,50.6,97.53,47.06,4.05
Toora-Khem,RU,94,1569364657,89,52.47,96.11,46.34,0.94
Olinda,AU,94,1569364658,76,-37.84,145.39,53.01,9.17
Perleberg,DE,100,1569364658,86,53.08,11.86,60.01,3.0
PEMEX,MX,55,1569364658,94,18.44,-96.35,78.2,2.57
Varzea Grande,BR,0,1569364659,68,-29.42,-50.86,66.0,6.93
Dunedin,NZ,100,1569364419,61,-45.87,170.5,46.99,24.0
Cidreira,BR,0,1569364659,92,-30.17,-50.22,59.84,7.18
Pevek,RU,100,1569364659,95,69.7,170.27,34.28,11.81
Kingsville,US,40,1569364630,69,27.52,-97.86,87.8,13.87
Medeiros Neto,BR,53,1569364453,79,-17.37,-40.22,64.16,10.6
Korhogo,CI,93,1569364660,90,9.46,-5.63,73.52,6.46
Zharkent,KZ,53,1569364661,58,44.17,80.0,49.94,5.82
Hostotipaquillo,MX,93,1569364661,62,21.06,-104.05,81.0,1.99
Santana,BR,40,1569364661,79,-0.06,-51.18,86.0,11.41
Paso de Carrasco,UY,0,1569364661,48,-34.86,-56.05,66.2,5.32
Humaita,AR,0,1569364662,28,-24.93,-65.37,78.8,12.75
Coihaique,CL,75,1569364662,67,-45.58,-72.07,57.2,5.82
Utinga,BR,0,1569364662,78,-5.82,-35.4,78.8,6.93
Catalao,BR,73,1569364663,34,-18.17,-47.95,81.62,12.12
Egvekinot,RU,77,1569364663,69,66.32,-179.17,32.66,15.41
Nieves,MX,22,1569364664,47,24.0,-103.02,71.72,6.55
Umm Lajj,SA,0,1569364664,71,25.02,37.27,84.5,14.45
Ribeirao Branco,BR,60,1569364664,97,-24.22,-48.77,57.86,0.6
Ninohe,JP,20,1569364664,63,40.27,141.31,62.6,5.82
Barrow,AR,0,1569364665,57,-38.31,-60.23,55.7,2.91
Shahpura,IN,2,1569364665,96,25.63,74.93,72.8,7.74
Sinnai,IT,20,1569364665,83,39.3,9.2,73.4,2.24
Casa Nova,BR,63,1569364666,44,-16.03,-44.16,73.7,12.21
Tianpeng,CN,100,1569364666,53,28.88,112.34,72.8,0.36
Constitucion,MX,90,1569364666,43,23.99,-104.67,73.4,17.22
Gold Coast,AU,75,1569364667,60,-28.0,153.41,72.0,5.82
Margate,AU,40,1569364667,53,-43.03,147.26,51.01,8.05
Westport,US,90,1569364667,49,41.14,-73.36,73.99,16.11
Ribita,RO,100,1569364668,91,46.18,22.77,54.08,2.04
Losal,IN,0,1569364668,81,27.4,74.92,77.3,7.65
Thompson,CA,75,1569364669,66,55.74,-97.86,53.6,18.34
Wajir,KE,0,1569364669,58,1.75,40.07,76.4,15.55
Saskylakh,RU,87,1569364670,94,71.97,114.09,34.82,7.83
Ilulissat,GL,84,1569364670,80,69.22,-51.1,38.96,6.31
Mao,DO,90,1569364670,100,19.55,-71.08,78.8,3.36
Moussoro,TD,55,1569364671,44,13.64,16.49,87.56,6.69
Peniche,PT,20,1569364671,88,39.36,-9.38,64.4,8.05
Henties Bay,NA,82,1569364671,91,-22.12,14.28,60.01,1.01
Gongzhuling,CN,0,1569364672,43,43.5,124.81,73.0,9.93
Srandakan,ID,28,1569364672,86,-7.94,110.25,75.68,11.32
Longyearbyen,NO,75,1569364672,93,78.22,15.63,35.6,8.05
Kangaatsiaq,GL,0,1569364673,78,68.31,-53.46,39.68,15.68
Toamasina,MG,75,1569364673,88,-18.17,49.38,69.8,1.21
